Pourcentage erreur;Voisin;Dimension
23.68;8;('Tendance helice', 'Tendance feuillet')
23.03;9;('Tendance helice', 'Tendance feuillet')
22.7;10;('Tendance helice', 'Tendance feuillet')
22.7;11;('Tendance helice', 'Tendance feuillet')
23.68;12;('Tendance helice', 'Tendance feuillet')
22.7;13;('Tendance helice', 'Tendance feuillet')
23.68;14;('Tendance helice', 'Tendance feuillet')
24.01;15;('Tendance helice', 'Tendance feuillet')
24.01;16;('Tendance helice', 'Tendance feuillet')
24.01;17;('Tendance helice', 'Tendance feuillet')
24.34;18;('Tendance helice', 'Tendance feuillet')
25.33;19;('Tendance helice', 'Tendance feuillet')
37.17;1;('Tendance helice', 'Flexibilite')
39.8;2;('Tendance helice', 'Flexibilite')
39.47;3;('Tendance helice', 'Flexibilite')
37.17;4;('Tendance helice', 'Flexibilite')
37.5;5;('Tendance helice', 'Flexibilite')
38.49;6;('Tendance helice', 'Flexibilite')
36.51;7;('Tendance helice', 'Flexibilite')
34.87;8;('Tendance helice', 'Flexibilite')
34.54;9;('Tendance helice', 'Flexibilite')
34.21;10;('Tendance helice', 'Flexibilite')
34.21;11;('Tendance helice', 'Flexibilite')
34.54;12;('Tendance helice', 'Flexibilite')
37.5;13;('Tendance helice', 'Flexibilite')
35.2;14;('Tendance helice', 'Flexibilite')
34.87;15;('Tendance helice', 'Flexibilite')
33.55;16;('Tendance helice', 'Flexibilite')
34.54;17;('Tendance helice', 'Flexibilite')
32.89;18;('Tendance helice', 'Flexibilite')
33.55;19;('Tendance helice', 'Flexibilite')
26.32;1;('Tendance helice', 'Hydropathie')
30.59;2;('Tendance helice', 'Hydropathie')
32.24;3;('Tendance helice', 'Hydropathie')
29.93;4;('Tendance helice', 'Hydropathie')
30.59;5;('Tendance helice', 'Hydropathie')
30.59;6;('Tendance helice', 'Hydropathie')
31.25;7;('Tendance helice', 'Hydropathie')
28.95;8;('Tendance helice', 'Hydropathie')
27.96;9;('Tendance helice', 'Hydropathie')
27.96;10;('Tendance helice', 'Hydropathie')
27.96;11;('Tendance helice', 'Hydropathie')
28.62;12;('Tendance helice', 'Hydropathie')
26.97;13;('Tendance helice', 'Hydropathie')
28.62;14;('Tendance helice', 'Hydropathie')
25.66;15;('Tendance helice', 'Hydropathie')
25.33;16;('Tendance helice', 'Hydropathie')
25.66;17;('Tendance helice', 'Hydropathie')
24.67;18;('Tendance helice', 'Hydropathie')
25.33;19;('Tendance helice', 'Hydropathie')
34.87;1;('Tendance helice', 'Pi')
38.16;2;('Tendance helice', 'Pi')
40.79;3;('Tendance helice', 'Pi')
40.46;4;('Tendance helice', 'Pi')
35.86;5;('Tendance helice', 'Pi')
36.18;6;('Tendance helice', 'Pi')
35.86;7;('Tendance helice', 'Pi')
37.83;8;('Tendance helice', 'Pi')
39.47;9;('Tendance helice', 'Pi')
39.8;10;('Tendance helice', 'Pi')
37.5;11;('Tendance helice', 'Pi')
36.18;12;('Tendance helice', 'Pi')
36.18;13;('Tendance helice', 'Pi')
39.14;14;('Tendance helice', 'Pi')
37.5;15;('Tendance helice', 'Pi')
39.47;16;('Tendance helice', 'Pi')
38.16;17;('Tendance helice', 'Pi')
39.14;18;('Tendance helice', 'Pi')
40.13;19;('Tendance helice', 'Pi')
27.96;1;('Tendance feuillet', 'Flexibilite')
27.96;2;('Tendance feuillet', 'Flexibilite')
24.67;3;('Tendance feuillet', 'Flexibilite')
